Price,Open,High,Low,Close,Volume
Ticker,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK
Date,,,,,
2015-12-21,1346.4596074493838,1369.60791015625,1346.4596074493838,1369.60791015625,16910000
2015-12-22,1377.3240110585386,1377.3240110585386,1358.033758802817,1369.60791015625,44916000
2015-12-23,1365.7498597051056,1373.4659606073942,1350.317657900528,1369.60791015625,51713200
2015-12-28,1342.6013509114582,1400.472098795573,1342.6013509114582,1388.89794921875,66709200
2015-12-29,1400.4722539196277,1408.1883544921877,1400.4722539196277,1408.1883544921875,43552000
2015-12-30,1408.1883858345652,1427.4786376953125,1404.3303354624156,1427.4786376953125,104390800
2016-01-04,1419.7625369510135,1442.9108391839106,1400.472285090266,1427.4786376953125,60667600
2016-01-05,1427.478909505208,1473.7755227864582,1427.478909505208,1446.7691650390625,106152400
2016-01-06,1458.343090689756,1469.9172422031668,1442.910888671875,1442.910888671875,106147600
2016-01-07,1412.0466684194712,1427.4788724459136,1404.33056640625,1404.33056640625,92196400
2016-01-08,1404.330317659198,1431.3366699218748,1404.330317659198,1431.336669921875,97109200
2016-01-11,1404.33056640625,1412.0466684194712,1388.8983623798078,1404.33056640625,62974000
2016-01-12,1419.762451171875,1431.3366015890372,1404.330250615659,1419.762451171875,77847200
2016-01-13,1431.3367371584643,1458.343090689756,1419.7625856450536,1442.910888671875,132198400
2016-01-14,1404.3303836271725,1462.2011411942262,1404.3303836271725,1442.910888671875,120844000
2016-01-15,1442.9108208915936,1454.4849718613123,1431.3366699218748,1431.336669921875,41635600
2016-01-18,1427.4786195986353,1439.052770568354,1427.4786195986353,1431.336669921875,61618000
2016-01-19,1423.6208583984373,1450.6272161458332,1423.6208583984373,1446.7691650390625,33891200
2016-01-20,1439.052734375,1450.6268850536194,1435.1946841487936,1439.052734375,111518800
2016-01-21,1439.0528748214886,1446.7689760269657,1427.4787230132729,1435.19482421875,111117200
2016-01-22,1435.1950117187498,1450.6272161458332,1431.336960611979,1446.7691650390625,102318000
2016-01-25,1450.6268634145342,1473.775164426468,1446.7688132458784,1469.9171142578125,52867200
2016-01-26,1458.3429637518454,1473.775164426468,1454.4849135831898,1469.9171142578125,68705200
2016-01-27,1473.775146484375,1481.4912467277488,1458.3429459976276,1473.775146484375,97861600
2016-01-28,1473.775305175781,1473.775305175781,1454.4850524902342,1466.0592041015625,84751600
2016-01-29,1466.0591316223142,1481.4913330078123,1454.4849805831907,1481.4913330078125,118885600
2016-02-01,1481.4913149350648,1489.207415533685,1446.7688622412743,1485.349365234375,73618400
2016-02-02,1477.6333557128905,1481.49140625,1450.6270019531248,1466.0592041015625,50634000
2016-02-03,1450.6272161458332,1454.485267252604,1442.9111139322915,1446.7691650390625,62028400
2016-02-04,1462.2010812759397,1508.4976854324339,1450.6269302368162,1481.4913330078125,176216000
2016-02-05,1481.491394927536,1604.9490111714974,1481.491394927536,1597.23291015625,244064000
2016-02-09,1574.0847058652053,1585.6588581142141,1550.9364013671875,1550.9364013671875,56263200
2016-02-10,1543.22022105598,1558.6524232665395,1512.3558166348603,1516.2138671875,56126000
2016-02-11,1516.2138610839843,1547.0782653808592,1516.2138610839843,1543.22021484375,144164400
2016-02-12,1527.7879692018798,1535.5040700564348,1489.207464929105,1500.7816162109375,136429600
2016-02-15,1512.3558349609375,1516.2138855603278,1500.7816831627672,1512.3558349609375,110414800
